"business_id","business_name","business_address","business_city","business_state","business_postal_code","business_latitude","business_longitude","business_location","business_phone_number","inspection_id","inspection_date","inspection_score","inspection_type","violation_id","violation_description","risk_category"
852,"New Hollywood Bakery & Restaurant","652 Pacific Ave","San Francisco","CA","94133",NULL,NULL,NULL,NULL,"852_20171129","2017-11-29",83,"Routine - Unscheduled","852_20171129_103114","High risk vermin infestation","High Risk"
3286,"Super Burrito","1200 Polk St","San Francisco","CA","94109",37.787998,-122.420117,"POINT (-122.420117 37.787998)",NULL,"3286_20190214","2019-02-14",81,"Routine - Unscheduled","3286_20190214_103131","Moderate risk vermin infestation","Moderate Risk"
3850,"Thai House Express On Castro","599 Castro","San Francisco","CA","94114",37.759404,-122.434836,"POINT (-122.434836 37.759404)","14155865000","3850_20190924","2019-09-24",88,"Routine - Unscheduled","3850_20190924_103131","Moderate risk vermin infestation","Moderate Risk"
1632,"SWEET CHINITO","3100 MISSION St","San Francisco","CA","94110",37.748164,-122.418241,"POINT (-122.418241 37.748164)",NULL,"1632_20170314","2017-03-14",94,"Routine - Unscheduled","1632_20170314_103161","Low risk vermin infestation","Low Risk"
5998,"CENTRO LATINO DE SAN FRANCISCO","1656 15th St","San Francisco","CA","94103",37.766618,-122.421263,"POINT (-122.421263 37.766618)","14155868758","5998_20180409","2018-04-09",86,"Routine - Unscheduled","5998_20180409_103131","Moderate risk vermin infestation","Moderate Risk"
2085,"KENTUCKY FRIED CHICKEN #249","691 EDDY St","San Francisco","CA","94109",37.783053,-122.418988,"POINT (-122.418988 37.783053)","14155672641","2085_20170920","2017-09-20",86,"Routine - Unscheduled","2085_20170920_103131","Moderate risk vermin infestation","Moderate Risk"
58803,"Catering For Two Or More","5051 MISSION STREET","San Francisco","CA","94110",37.717659,-122.44005,"POINT (-122.44005 37.717659)",NULL,"58803_20180226","2018-02-26",96,"Routine - Unscheduled","58803_20180226_103161","Low risk vermin infestation","Low Risk"
63156,"Takara Sushi S.F. INC","4243 18th St","San Francisco","CA","94114",37.760733,-122.436848,"POINT (-122.436848 37.760733)",NULL,"63156_20170802","2017-08-02",81,"Routine - Unscheduled","63156_20170802_103131","Moderate risk vermin infestation","Moderate Risk"
1199,"PANCHO'S","3440 GEARY Blvd","San Francisco","CA","94118",37.781507,-122.456176,"POINT (-122.456176 37.781507)",NULL,"1199_20181214","2018-12-14",81,"Routine - Unscheduled","1199_20181214_103114","High risk vermin infestation","High Risk"
5828,"GEORGE WASHINGTON HIGH SCHOOL","600 32nd Ave","San Francisco","CA","94121",37.777772,-122.492005,"POINT (-122.492005 37.777772)",NULL,"5828_20171030","2017-10-30",94,"Routine - Unscheduled","5828_20171030_103131","Moderate risk vermin infestation","Moderate Risk"
57698,"China Fun Express","211 Kearny St","San Francisco","CA","94108",37.790055,-122.403915,"POINT (-122.403915 37.790055)",NULL,"57698_20170322","2017-03-22",87,"Routine - Unscheduled","57698_20170322_103131","Moderate risk vermin infestation","Moderate Risk"
33442,"Miller's East Coast Deli","1725 Polk St","San Francisco","CA","94109",37.792784,-122.421164,"POINT (-122.421164 37.792784)",NULL,"33442_20170807","2017-08-07",82,"Routine - Unscheduled","33442_20170807_103114","High risk vermin infestation","High Risk"
